"","RESPNO","URBRUR","PROVINCE","DISTRICT","HHOLDSE1","HHOLDSE2","HHOLDSE3","HHOLDSE4","HHOLDSE5","HHOLDSE6","HHOLDSE7","PREVINT","CURRINT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q3","Q4A","Q4B","Q5","Q6A","Q6B","Q7A","Q7B","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q9A","Q9B","Q9C","Q10","Q11","Q12","Q13","Q14A","Q14B","Q14C","Q15A","Q15B","Q15C","Q16","Q17","Q18A","Q18B","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28A","Q28B","Q28C","Q28D","Q29","Q30","Q31A","Q31B","Q31C","Q32A","Q32A_KEN","Q32B","Q32C","Q32D","Q32E","Q32F","Q32G","Q33","Q34","Q35A","Q35PT1","Q35B","Q35PT2","Q35C","Q35PT3","Q36A","Q36B","Q36C","Q37","Q38","Q39","Q40","Q41","Q42","Q43A1","Q43A2","Q43B1","Q43B2","Q43C1","Q43C2","Q44A1","Q44A2","Q44B1","Q44B2","Q44C1","Q44C2","Q45","Q46","Q47","Q48","Q49","Q50","Q51","Q52A","Q52B","Q52C","Q52D","Q53A","Q53B","Q53C","Q53D","Q54A","Q54B","Q54C","Q54D","Q54E","Q54F","Q54G","Q55A","Q55B","Q55C","Q55D","Q55E","Q55F","Q55G","Q55H","Q55I","Q55J","Q55K","Q55M","Q56A","Q56B","Q56C","Q56D","Q56E","Q56F","Q56G","Q56H","Q56I","Q56J","Q57A","Q57B","Q57C","Q57D","Q57E","Q57F","Q58A","Q58B","Q58C","Q59","Q60","Q61","Q62A","Q62B","Q63PT1","Q63PT2","Q63PT3","Q64","Q65A","Q65B","Q65C","Q65D","Q65E","Q65F","Q65G","Q65H","Q65I","Q65J","Q65K","Q66","Q67A","Q67B","Q67C","Q67D","Q68A","Q68B","Q68C","Q69A_verb","Q69A_code","Q69B_verb","Q69B_code","Q70A","Q70B","Q70C","Q70D","Q71A","Q71B","Q71C","Q71D","Q71E","Q72A","Q72B","Q72C","Q73A","Q73B","Q73C","Q73D","Q73E","Q73F","Q73G","Q74A","Q74B","Q74C","Q74D","Q74E","Q74F","Q74G","Q75A","Q75B","Q75C","Q75D","Q75E","Q76A","Q76B","Q77A","Q77B","Q78A","Q78B","Q78C","Q78D","Q79","Q80A","Q80B","Q81","Q82","Q83","Q84A","Q84B","Q84C","Q84D","Q85","Q86","Q87","Q88A_KEN","Q88B_KEN","Q88C_KEN","Q88D_KEN","Q89A_KEN","Q89B_KEN","Q90","Q91","Q92","Q93A","Q93B","Q93C","Q93D","Q93E","Q93F","Q94","Q95","Q96A","Q96B","Q97","Q98","Q99","Q99A_KEN","Q99B_KEN","Q100","Q101","ENDTIME","LENGTH","Q102","Q103","Q104","Q105A","Q105B","Q105C","Q105D","Q105E","Q106","Q108A","Q108B","Q108C","Q108D","Q108E","Q108F","Q110","Q111","Q112","Q113","Q114","Q115","Q116A","Q116B","Q116C","Q116D","Q116E","Q116F","Q116G","Q116H","Q116I","Q116J","Q116K","Q117A","Q117B","Q118","withinwt"
"1","KEN1179",2,216,"NANDI",6,997,997,997,997,997,997,1,2,1,2005-09-09,40380,29,0,206,3,3,3,2,3,3,2,0,0,1,0,2,3,4,3,1,4,2,3,2,2,1,1,4,4,3,3,2,2,4,3,1,1,3,1,1,3,4,3,3,0,0,2,1,1,3,1,1,0,2,1,0,2,3,0,3,1,1,"PERSONAL RIGHT",1,"NFR",996,"NFR",996,1,1,2,3,3,2,2,3,3,"TARUS",3,"KIPCHUMBA",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"DK",9,3,4,4,3,2,3,3,3,3,4,4,2,3,3,2,5,3,4,4,5,1,2,0,1,1,1,0,1,2,1,2,1,3,2,2,3,1,1,1,2,2,1,2,1,3,0,0,3,3,2,3,3,2,2,1,2,1,0,4,21,24,0,3,1,1,1,2,2,3,2,1,3,3,3,2,2,2,2,2,1,1,"YES",2,"NO",2,1,4,1,4,1,7,1,2,1,7,5,7,0,1,0,1,0,0,1,-1,1,2,3,2,1,1,2,2,2,2,5,3,1,1,2,3,3,0,0,206,3,2,1,3,0,2,0,1,0,0,997,7,2,1,3,1,1,1,7,2,6,1,1,1,1,0,0,0,23,2,1,1,2,206,2,2,-1,2,43560,53,1,1,4,0,0,0,0,0,0,1,2,1,2,2,2,"KEN82",25,1,1,206,8,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1.251873798
"2","KEN0630",2,212,"KITUI",997,997,997,997,997,997,997,2,1,1,2005-09-08,43320,28,1,203,1,1,1,3,4,4,4,2,3,3,0,4,7,0,0,0,2,1,2,3,3,4,2,1,0,0,1,1,2,2,4,4,4,1,4,4,1,2,2,1,0,0,0,1,1,1,1,0,0,3,0,0,0,3,2,2,1,2,"KUUNGANA KWA WATU KISIASA",11,"NFR",996,"NFR",996,4,1,1,9,3,1,2,3,2,"KILONZO KIEMA",3,"CANT REMEMBER",1,"MOODY AWORI",3,"KANU",2,"3TIMES",2,"DK",9,2,9,9,9,1,1,1,4,4,4,9,2,3,1,3,4,4,3,4,3,5,3,1,1,1,1,2,1,0,0,2,2,9,9,1,2,2,2,2,3,1,1,0,0,7,7,7,0,7,0,1,3,1,2,2,0,0,1,17,4,13,0,3,2,2,2,4,3,4,1,1,3,3,3,9,9,9,9,3,1,1,"YES",2,"YES",1,1,4,2,4,2,7,7,7,2,7,3,5,7,7,7,7,7,7,7,0,-1,3,1,1,2,0,9,6,6,3,6,0,0,0,0,3,3,1,1,203,3,4,1,3,1,2,2,2,2,1,201,1,2,9,9,9,2,7,2,4,4,1,0,0,0,0,0,1,1,2,0,1,5,201,9,7,1,1,46080,46,1,4,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN54",28,1,2,201,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162581576
"3","KEN0669",2,212,"MACHAKOS",7,997,997,997,997,997,997,2,1,1,2005-09-11,62760,30,1,203,1,2,4,1,2,1,1,0,2,2,2,2,7,2,1,2,4,1,2,4,1,1,1,4,2,4,2,2,5,5,4,1,4,1,4,4,4,4,4,2,0,0,3,1,1,4,4,1,0,3,0,0,0,3,0,3,4,1,"BE FREE TO EXPRESS YOURSELF",1,"NFR",996,"NFR",996,1,5,1,3,4,4,1,4,4,"MOFFAT MAITHA",3,"MR.KISINI",3,"MOODY",3,"NARC",3,"TWICE",3,"PARLIAMENT",2,2,2,1,1,2,4,4,1,1,5,5,2,2,2,2,3,3,3,3,2,2,2,0,1,1,0,0,2,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,1,7,7,7,0,7,2,3,3,3,1,2,9,0,0,19,996,996,2,1,1,1,1,2,3,3,1,1,1,1,4,1,1,1,1,1,1,1,"YES",2,"NO",2,2,4,4,4,1,7,7,7,3,7,3,5,7,7,7,7,7,7,7,0,-1,3,3,3,3,0,9,2,2,2,2,3,3,0,0,3,3,1,1,203,5,4,1,1,0,1,1,1,1,1,206,2,3,9,9,1,2,7,4,10,6,1,1,0,1,0,0,3,10,2,3,1,1,202,2,2,1,1,66960,70,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN54",28,1,2,201,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162581576
"4","KEN0439",2,215,"NYAMIRA",997,997,997,997,997,997,997,0,1,1,2005-09-07,57600,56,1,205,3,3,5,3,3,4,3,0,0,0,0,1,0,0,1,0,4,1,1,4,2,3,3,4,0,0,1,0,1,3,1,1,4,3,4,1,2,1,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,"POLITICS",19,"CORRUPTION",15,"NFR",996,1,1,1,3,1,4,1,4,1,"MASANYA",3,"DK",9,"DK",9,"DK",9,"MANY TIMES",2,"PARLIAMENT",2,1,3,3,3,1,2,2,3,3,3,1,2,1,0,9,4,5,4,4,2,2,1,3,0,9,1,2,1,0,0,0,2,2,9,0,1,0,9,1,3,9,9,0,0,0,0,0,0,0,0,3,3,3,1,9,0,0,1,2,1,8,2,3,3,1,1,1,3,3,9,1,9,3,2,3,1,3,3,4,3,3,"YES",2,"YES",1,4,4,4,3,2,9,2,4,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,2,2,0,1,3,2,3,2,0,0,205,2,5,1,3,0,0,0,1,1,1,204,2,1,2,2,1,2,7,3,2,5,0,1,0,0,0,0,0,2,0,0,0,997,204,1,7,1,1,63000,90,1,205,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN20",31,2,2,205,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.169642018
"5","KEN0124",1,213,"NAIROBI",997,997,997,997,997,997,997,2,1,1,2005-09-17,56400,40,1,200,2,2,3,3,3,3,3,0,1,1,0,2,2,2,1,0,1,1,4,3,3,3,3,4,4,4,3,2,4,4,1,1,1,1,1,1,4,4,4,0,0,0,0,1,1,2,2,1,0,1,0,0,0,0,0,0,1,1,"FREEDOM OF EXPRESSION",1,"RIGHT TO ASSOCIATION",1,"RIGHT TO JOIN ANY POLITICAL PARTY",3,1,1,1,3,1,4,1,4,1,"BETH MUGO",3,"WAMBOGO",3,"MOODY AWORI",3,"NARC",3,"2",3,"HIGH COURT",3,1,4,4,4,1,1,1,4,4,4,4,0,1,1,1,5,5,5,5,5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,3,3,1,2,1,1,1,3,12,21,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,"YES",2,"YES",1,1,4,1,4,3,3,3,3,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,2,3,1,1,1,200,3,3,0,4,0,2,3,1,1,1,201,3,2,2,2,3,1,2,4,2,5,1,1,1,0,0,1,5,16,1,1,1,8,201,1,7,21,1,60300,65,1,1,1,0,0,0,0,0,0,1,-1,1,1,1,1,"KEN21",38,1,1,205,9,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.6566475
"6","KEN0121",1,213,"NAIROBI",997,997,997,997,997,997,997,1,2,1,2005-09-17,61200,32,0,205,2,2,3,3,3,3,3,0,0,0,0,0,0,3,1,1,4,4,4,4,2,2,2,4,4,3,1,1,4,4,1,1,1,1,1,1,4,4,4,0,0,0,0,6,7,1,1,0,0,0,0,0,0,0,0,0,7,1,"FREEDOM OF SPEECH",1,"NFR",996,"NFR",996,1,1,1,3,1,4,1,4,1,"BETTY MUGO",3,"DK",9,"MOODY AWORI",3,"NARC",3,"DK",9,"HIGH COURT",3,9,3,3,4,1,1,1,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,0,3,3,3,1,3,9,0,0,3,23,13,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,"YES",2,"NO",2,1,4,1,4,2,2,2,2,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,2,2,3,3,1,0,205,3,3,1,5,0,1,1,1,1,0,997,7,9,9,9,1,1,9,6,14,5,1,1,1,0,0,1,4,18,1,1,1,2,997,7,7,21,2,64800,60,1,1,-1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN21",38,1,1,205,9,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.6566475
"7","KEN0426",2,215,"NYAMIRA",997,997,997,997,997,997,997,2,1,1,2005-09-07,46200,65,1,205,1,4,3,4,4,4,9,0,2,0,0,1,3,2,0,0,1,3,5,3,4,3,3,4,3,3,3,1,1,4,5,1,1,2,2,2,5,1,3,2,2,9,2,1,1,4,4,1,3,3,2,0,1,1,0,2,1,1,"MANY PARTIES",3,"PERSONAL FREEDOM",1,"NFR",996,1,2,1,3,5,3,2,4,1,"GODFREY MASANYA",3,"WILLIAM MOLIASI",2,"MOODY AWORI",3,"NARC",3,"TWICE",3,"PRESIDENT",2,1,3,3,3,1,2,2,4,5,2,5,3,1,9,9,4,4,4,5,4,9,4,9,2,3,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,2,3,2,2,2,2,1,2,13,20,7,2,3,3,3,3,3,4,4,3,9,3,4,3,3,3,2,1,3,3,3,"YES",2,"YES",1,2,4,4,3,3,1,2,3,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,2,0,2,2,1,2,205,3,3,0,3,0,2,2,2,2,1,201,3,9,9,9,4,1,1,6,14,5,1,1,1,1,0,0,9,20,0,1,1,999,201,1,7,21,1,52200,100,1,4,1,0,0,0,0,0,1,1,1,1,1,1,1,"KEN23",30,2,2,201,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.169642018
"8","KEN0100",1,213,"NAIROBI",997,997,997,997,997,997,997,1,2,1,2005-09-20,54300,38,1,218,3,4,4,4,5,4,4,0,2,0,0,0,0,0,0,0,4,2,5,3,5,2,2,3,4,4,2,1,1,3,5,2,1,1,1,1,5,5,4,2,0,2,0,1,6,1,1,1,0,0,0,0,0,0,0,0,7,1,"PEACE AND UNITY",4,"NO RACISM",6,"EQUALITY",6,4,1,1,3,1,2,2,3,5,"FRED GUMO",3,"DK",9,"MOODY AWORI",3,"NARC",3,"2",3,"AG",2,9,2,2,2,1,1,2,1,4,4,4,0,3,2,0,5,5,5,5,3,3,2,2,1,1,1,1,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,3,3,3,2,3,9,9,9,3,4,1,1,2,1,1,1,1,3,3,2,2,1,3,4,1,1,4,4,2,9,9,"YES",2,"NO",2,1,4,1,4,2,2,2,3,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,1,1,3,3,1,1,808,2,5,3,5,0,3,2,1,1,0,997,7,1,1,3,2,1,0,6,11,5,1,1,1,0,1,1,4,18,0,0,1,2,999,9,7,17,2,60780,108,4,1,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN32",26,1,2,209,8,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0.6566475
"9","KEN0193",1,211,"MOMBASA",1,1,4,1,997,997,997,2,1,1,2005-09-15,54540,48,1,4,4,5,5,3,4,4,5,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,4,3,0,0,3,3,1,1,1,4,3,3,2,3,2,3,2,2,2,2,7,0,1,0,2,0,2,2,0,2,0,1,2,1,"EQUALITY IN DISTRIBUTION OF RESOURCES",6,"PEACE FOR ALL",4,"DEVELOPMENT",5,5,3,3,3,3,2,2,5,5,"DK",9,"DK",9,"MOODY AWORI",3,"K",9,"ONCE",2,"KBCR",1,3,1,0,0,2,1,5,9,5,5,5,0,2,2,1,3,3,3,3,3,3,3,0,0,1,1,0,0,1,1,1,3,3,3,2,2,2,2,2,2,1,2,1,1,3,0,0,0,3,1,1,1,1,1,4,2,1,2,23,27,1,0,2,2,2,2,2,2,2,3,3,1,3,3,4,4,3,3,1,3,4,"YES",2,"NO",2,2,2,2,2,4,4,3,4,4,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,3,3,1,2,0,2,3,3,2,1,801,3,3,1,3,0,1,1,1,1,0,997,7,1,1,2,2,1,2,6,200,6,1,1,1,1,1,1,4,17,0,1,0,997,997,2,1,1,1,57240,45,4,4,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN33",25,2,2,201,8,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0.636087998
"10","KEN0005",1,213,"NAIROBI",997,997,997,997,997,997,997,1,1,1,2005-09-18,41580,35,1,201,2,2,3,2,2,3,3,2,1,2,1,3,0,2,0,0,4,1,3,3,2,1,1,4,4,4,2,1,3,3,4,1,1,1,4,4,4,4,4,3,0,0,3,1,1,3,3,1,0,2,0,0,0,2,0,2,1,1,"PROVIDE DEVELOPMENT TO THE PEOPLE",5,"GOVERNMENT THAT CATERS FOR THE HEALTH OF ITS CITIZENS",5,"NFA",996,1,1,1,3,1,4,1,4,3,"MAINA KAMANDA",3,"DK",9,"AWORI",3,"LDP",3,"TWICE",3,"DK",9,1,3,2,3,1,1,3,3,3,3,9,0,1,1,1,4,4,3,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,3,3,3,3,1,2,2,1,1,1,3,20,1,2,1,2,2,4,3,4,2,2,3,4,3,3,3,9,9,3,3,3,"YES",2,"NO",2,2,4,2,4,1,7,7,3,3,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,2,1,3,3,1,1,201,4,4,1,2,0,3,3,2,2,1,202,3,1,1,3,1,1,2,6,10,5,1,1,1,1,0,0,3,10,1,1,1,5,202,2,2,19,1,44640,51,1,4,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN34",28,1,1,201,8,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0.6566475
