"","RESPNO","URBRUR","REGION","COUNTY","EA_SVC_A","EA_SVC_B","EA_SVC_C","EA_SVC_D","EA_FAC_A","EA_FAC_B","EA_FAC_C","EA_FAC_D","EA_FAC_E","EA_FAC_F","EA_FAC_G","EA_SEC_A","EA_SEC_B","EA_SEC_C","EA_SEC_D","EA_SEC_E","EA_ROAD_A","EA_ROAD_B","NOCALL_1","NOCALL_1OTHER","NOCALL_2","NOCALL_2OTHER","NOCALL_3","NOCALL_4","NOCALL_5","NOCALL_6","NOCALL_7","PREVINT","THISINT","ADULT_CT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q2OTHER","Q3","Q4A","Q4B","Q5","Q6","Q7","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q9","Q10A","Q10B","Q11A","Q11B","Q12A","Q12B","Q12C","Q12D","Q12E","Q13","Q14","Q15A","Q15B","Q15C","Q16","Q17","Q18","Q19A","Q19B","Q20A","Q20B","Q20C_KEN","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24A","Q24B","Q24C","Q24D","Q24E","Q24F","Q24G_KEN","Q25A","Q25B","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q27A","Q27B","Q27C","Q27D","Q27E","Q28A","Q28B","Q28C","Q29A","Q29B","Q29C","Q29D","Q29E","Q29F","Q29G","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42A","Q42B","Q42C","Q43","Q44","Q45A","Q45B","Q45C","Q45D","Q45E","Q46","Q47A","Q47B","Q48A","Q48B","Q48C","Q48D","Q48E","Q48F","Q49","Q50","Q51A","Q51B","Q51C","Q51D","Q51E_KEN","Q52A","Q52B","Q52C","Q52D","Q52E","Q52E1_KEN","Q52F","Q52G","Q52H","Q52I","Q52J","Q52K","Q52L","Q52M_KEN","Q53A","Q53B","Q53C","Q53D","Q53D1_KEN","Q53E","Q53E1_KEN","Q53F","Q53G","Q53H","Q53I","Q53J","Q54","Q55A","Q55B","Q55C","Q55D","Q55E","Q55F","Q55G","Q55H","Q55I","Q55J","Q55K","Q55L","Q56","Q57A","Q57B","Q58","Q58OTHER","Q59A","Q59B","Q60PT1","Q60PT1OTHER","Q60PT2","Q60PT2OTHER","Q60PT3","Q60PT3OTHER","Q61A","Q61B","Q62","Q63A","Q63B","Q63C","Q63D","Q63E_KEN","Q64","Q65A","Q65B","Q65C","Q66A","Q66B","Q66C","Q66D","Q66E","Q66F","Q66G","Q66H","Q66I","Q66J","Q66K","Q66L","Q66M","Q66N_KEN","Q67A","Q67B","Q67C_KEN","Q68A","Q68B","Q68C","Q68C1_KEN","Q68D","Q69A","Q69B","Q69C","Q70A","Q70B","Q71A","Q71B","Q71BOTHER","Q72","Q73A","Q73B","Q73C","Q73D","Q73E","Q74A","Q74AOTHER","Q74B","Q74BOTHER","Q75A","Q75B","Q76","Q77","Q78","Q79A","Q79B","Q80A","Q80AOTHER","Q80B","Q81A","Q81B","Q81C","Q81D","Q81E","Q82A_KEN","Q82B_KEN","Q82C_KEN","Q82D_KEN","Q82E_KEN","Q83A_KEN","Q83B_KEN","Q83C_KEN","Q83D_KEN","Q84A_KEN","Q84B_KEN","Q84C_KEN","Q84D_KEN","Q85A_KEN","Q85B_KEN","Q85C_KEN","Q85D_KEN","Q86_KEN","Q87","Q87OTHER","Q88A","Q88B","Q89A","Q89B","Q89C","Q89D","Q89E","Q90A","Q90B","Q90BOTHER","Q91A","Q91B","Q91C","Q91D","Q92A","Q92B","Q93A","Q93B","Q94","Q95","Q96A","Q96B","Q97","Q98A","Q98AOTHER","Q98B","Q99","Q99OTHER","Q100","ENDTIME","LENGTH","Q101","Q102","Q102OTHER","Q103","Q103OTHER","Q104","Q105","Q106","Q107A","Q107B","Q107C","Q107D","Q107E","Q108","Q110A","Q110B","Q110C","Q110D","Q110E","Q110F","Q112","Q113","Q114","Q115","Q116","Q117","withinwt"
"1","KEN0001",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,3,1,2014-11-15,37200,56,300,"",1,2,3,2,2,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,2,3,3,2,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,3,0,1,2,3,3,3,3,2,1,1,1,1,0,0,4,2,2,1,"Freedom","Governance","",1,8,9996,3,3,2,2,2,3,2,2,3,3,2,3,4,4,4,2,3,0,0,0,0,0,2,2,2,3,0,3,3,3,0,9,1,3,3,3,0,0,3,3,3,1,0,0,3,0,0,3,3,3,3,3,2,2,2,2,2,3,2,2,2,9,1,9,1,7,7,3,0,7,7,7,7,7,7,7,7,7,7,7,4,"",0,0,20,"",14,"",3,"",2,0,4,1,1,1,1,1,2,4,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,1,3,1,3,2,2,2,9,3,3,1,3,3,4,1,"",0,7,7,7,7,7,5,"",14,"",2,2,2,3,2,0,0,1,"",1,0,9,9,5,9999,0,4,4,2,4,3,3,3,2,4,4,4,3,2,4,4,3,1,300,"",0,3,5,5,1,5,5,0,9997,"",1,0,0,0,0,0,3,3,0,3,3,1,5,13,"",3,305,"",8,41400,70,1,1,"",4,"",2,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN16",23,2,2,301,7,1.2906752997778
"2","KEN0002",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,6,1,2014-11-15,33840,72,4,"",1,1,3,2,2,1,3,0,1,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,2,2,3,3,0,2,1,1,1,4,0,0,0,0,0,0,0,0,0,3,0,2,1,3,3,3,3,3,1,1,1,1,0,0,4,2,2,1,"Togetherness","","",11,9996,9996,3,3,2,3,2,3,2,2,3,2,3,3,4,4,4,2,2,0,0,0,0,0,0,2,2,0,0,2,3,3,0,0,1,3,2,2,0,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,0,3,1,0,0,0,0,9,4,7,7,4,0,7,7,7,7,7,7,7,7,7,7,7,2,"",0,1,4,"",14,"",29,"",2,0,3,2,1,1,2,1,4,1,3,1,3,1,2,1,1,3,1,3,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,1,3,3,5,2,"",0,7,7,7,7,7,12,"",14,"",2,2,2,3,2,3,3,1,"",2,3,5,3,5,5,1,4,2,4,3,3,3,3,2,4,4,4,3,2,4,4,2,1,302,"",0,3,5,5,1,5,5,1,305,"",1,1,1,1,4,0,3,3,0,3,11,2,3,13,"",3,305,"",8,36660,47,2,1,"",4,"",2,1,2,0,0,0,0,0,0,1,1,1,1,1,1,"KEN16",23,2,2,301,7,1.2906752997778
"3","KEN0003",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,6,1,2014-11-15,34200,50,302,"",1,1,1,1,1,1,2,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,4,2,4,3,2,3,1,1,0,1,0,0,0,0,2,0,0,0,2,3,0,1,2,3,3,3,2,3,3,1,1,1,0,0,5,2,2,1,"Many political parties","","",3,9996,9996,2,4,4,1,1,4,1,1,4,1,2,1,2,4,4,1,4,2,2,9,3,9,2,0,0,1,2,1,3,1,3,1,1,3,3,2,1,3,2,2,9,9,2,2,2,2,1,1,2,2,1,2,9,1,1,1,1,2,2,9,1,2,1,2,2,3,0,2,0,2,0,7,7,7,7,7,7,7,7,7,7,"",1,1,1,"",14,"",18,"",2,0,5,1,1,1,1,1,2,1,5,1,2,1,2,2,1,2,3,3,2,1,2,3,2,1,3,3,3,3,3,2,3,2,2,1,1,9,9,2,9999,"",0,7,7,7,7,7,4,"",14,"",2,2,1,4,3,1,1,1,"",1,9,9,3,9,4,1,2,2,4,9,9,9,9,9,2,4,5,4,2,2,4,3,1,302,"",1,5,3,3,1,3,3,1,309,"Ford Kenya",0,0,0,1,4,0,2,2,0,0,0,7,5,13,"",4,309,"Ford Kenya",99,38400,70,2,1,"",4,"",1,1,3,0,0,0,0,0,0,1,2,1,2,3,1,"KEN17",25,1,2,302,8,1.2906752997778
"4","KEN0004",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,3,1,2014-11-15,39300,65,302,"",2,1,1,2,1,1,0,0,0,0,3,5,0,1,1,1,0,4,3,0,0,0,0,0,4,4,4,5,1,4,0,3,3,2,1,1,4,1,0,0,0,2,1,0,0,3,3,0,1,2,3,3,3,2,3,3,1,0,0,0,0,2,5,2,1,"Freedom","Freedom of expression","",1,1,9996,3,4,1,4,1,4,1,1,4,1,3,1,2,4,4,1,1,1,1,0,1,0,2,2,2,1,1,2,3,1,2,0,1,1,2,2,1,3,1,0,9,0,0,0,1,1,0,0,1,0,0,2,1,2,2,2,1,2,2,2,1,2,2,2,1,4,0,3,0,3,0,7,7,7,7,7,7,7,7,7,7,"",0,0,14,"",20,"",23,"",2,0,0,3,3,3,3,3,2,5,4,1,2,1,2,1,1,1,3,2,2,2,2,3,3,1,2,3,3,3,2,1,4,2,3,3,3,3,4,1,0,"",0,7,7,7,7,7,17,"",14,"",2,2,1,4,2,0,0,4,"",2,2,4,3,7,4,0,4,2,3,4,4,4,1,2,2,4,4,4,4,5,1,1,7,302,"",1,5,3,3,1,4,4,0,9997,"",1,1,0,1,4,0,2,2,0,0,11,4,4,5,"",3,305,"",1,46200,115,1,1,"",4,"",1,1,4,0,0,0,0,0,1,1,1,1,3,1,1,"KEN17",25,1,2,302,8,1.2906752997778
"5","KEN0005",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,5,1,2014-11-15,38160,70,302,"Maragoli",1,1,2,2,3,3,1,3,1,1,2,1,0,0,0,0,0,4,4,0,0,0,3,2,3,3,4,1,4,4,1,0,1,1,1,1,2,1,1,1,1,1,3,0,0,0,0,0,1,1,3,1,3,3,3,2,3,1,1,0,0,1,1,1,1,"Respect","Believe in God","",10,19,9996,3,4,1,4,5,4,1,1,4,5,1,1,5,5,5,5,1,1,1,9,2,9,2,3,3,1,1,2,3,3,0,3,1,1,3,2,0,2,0,3,2,3,9,0,3,3,3,2,3,3,3,3,3,0,1,2,1,1,1,1,1,0,0,1,2,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,8,"",3,0,10,"",9996,"",9996,"",1,1,1,2,2,2,2,2,5,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,4,1,9,9,0,1,3,4,4,5,4,"",0,7,7,7,7,7,2,"",17,"",3,3,1,1,2,2,2,9995,"Tanzania",2,1,1,0,5,2,1,5,5,5,2,4,4,4,2,5,1,5,4,5,5,1,1,7,302,"Maragoli",3,2,3,3,1,3,3,1,302,"",1,0,0,1,4,0,3,2,0,0,0,7,0,12,"",3,302,"",10,42180,67,1,1,"",4,"",2,4,4,0,0,0,0,0,0,1,1,1,1,1,2,"KEN18",25,1,2,1,9,1.2906752997778
"6","KEN0006",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,5,1,2014-11-15,33600,52,4,"",1,2,3,3,2,9,1,0,1,1,1,7,0,2,2,2,0,0,0,0,0,0,0,1,3,4,4,5,1,4,3,2,4,1,1,1,3,0,0,0,0,3,0,0,0,0,3,0,2,1,3,2,3,3,2,2,1,0,1,0,0,1,9,9,3,"","","",9999,9996,9996,3,4,5,1,1,3,5,1,4,1,2,2,3,1,5,1,1,0,0,0,0,0,3,3,3,2,1,2,1,3,1,3,1,1,2,1,0,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,9,1,1,9,1,1,1,1,1,1,1,1,1,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,7,"",3,3,31,"",9996,"",9996,"",3,0,9,1,1,1,1,1,2,2,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,1,"",0,7,7,7,7,7,18,"",6,"",3,3,1,1,1,9,9,9999,"",9,2,4,7,7,4,9,9,9,9,9,4,4,4,2,1,5,5,4,9,9,9,9,1,302,"",1,3,3,3,1,3,3,8,9997,"",1,0,0,0,4,0,2,2,0,0,0,7,0,13,"",3,9998,"",99,37500,65,2,1,"",4,"",2,1,1,0,0,0,0,0,1,2,1,2,2,2,2,"KEN18",25,1,2,1,9,1.2906752997778
"7","KEN0007",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,5,1,2014-11-15,37800,40,302,"",1,2,2,5,1,1,0,0,0,0,0,7,0,0,0,0,0,4,2,1,0,0,0,0,4,4,4,3,2,4,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,7,7,3,1,1,3,3,2,0,0,0,0,0,1,1,1,1,"Political competition","","",3,9996,9996,2,2,2,3,3,2,2,2,2,3,2,4,2,1,1,3,2,1,3,2,1,3,2,1,2,3,3,3,3,2,0,1,1,3,2,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,9,0,0,0,0,0,2,3,-1,2,-1,2,-1,4,0,7,7,7,7,7,7,7,7,"",0,1,32,"",16,"",20,"",2,0,2,1,1,1,1,1,1,1,7,3,3,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,1,3,3,"",0,7,7,7,7,7,4,"",9996,"",3,3,2,3,2,2,2,2,"",2,3,5,4,2,1,1,2,2,1,3,2,1,1,3,4,1,4,3,4,5,1,2,2,302,"",0,5,4,4,1,4,4,8,9997,"",1,1,0,1,4,0,2,2,0,3,6,1,4,13,"",4,305,"",1,40800,50,2,1,"",4,"",1,1,1,0,0,0,0,0,0,1,2,2,1,1,1,"KEN19",31,2,2,301,9,1.2906752997778
"8","KEN0008",2,305,"Kakamega",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,5,1,2014-11-15,33900,22,302,"",1,2,2,4,1,2,0,2,2,2,2,2,5,0,0,0,0,4,4,0,0,0,0,0,4,4,4,3,3,3,0,0,0,0,0,2,8,0,0,0,0,2,1,0,0,0,0,0,1,2,1,1,3,2,3,1,0,0,0,0,0,1,1,1,3,"","","",9999,9996,9996,9,2,2,3,3,3,3,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,0,2,3,3,2,3,3,0,2,4,0,0,3,0,2,3,3,3,2,0,0,3,2,2,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,"",2,1,20,"",17,"",9996,"",4,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2,2,2,0,4,2,2,2,"",0,7,7,7,7,7,2,"",7,"",3,3,2,2,3,1,1,2,"",1,3,5,2,6,2,1,4,2,4,3,4,3,4,3,5,2,5,2,5,1,5,3,1,302,"",9,3,5,4,1,1,3,0,9997,"",1,1,0,1,4,0,3,2,0,2,2,1,2,13,"",4,9999,"",1,37200,55,1,1,"",4,"",2,1,1,0,0,0,0,0,0,1,1,1,2,1,2,"KEN19",31,2,2,301,9,1.2906752997778
"9","KEN0009",2,305,"Kakamega",0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,4,1,2014-11-22,41040,21,302,"",2,2,2,3,4,9,1,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,2,1,4,4,4,2,2,3,2,0,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,7,7,3,3,3,3,2,3,1,1,1,0,0,4,2,2,1,"Freedom to do what you want","","",1,9996,9996,3,3,2,2,2,3,5,2,3,2,2,3,4,4,4,2,3,0,0,0,2,0,2,2,2,1,0,3,0,3,0,0,1,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,0,7,7,7,7,7,7,7,7,7,7,7,7,"",1,1,24,"",1,"",20,"",2,0,3,1,1,1,2,2,4,1,4,1,1,1,3,3,1,1,3,3,1,1,1,1,3,3,2,3,3,3,3,3,3,3,2,2,1,3,3,4,1,"",0,7,7,7,7,7,18,"",9996,"",2,2,3,3,2,2,2,5,"",1,2,4,4,5,3,0,2,4,2,4,3,3,3,2,4,4,2,5,4,4,3,3,1,302,"",0,3,5,5,1,5,5,0,9997,"",1,0,0,1,4,0,2,2,0,1,1,7,5,2,"",3,9998,"",8,43320,38,1,1,"",4,"",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN16",23,2,2,301,7,1.2751249949612
"10","KEN0010",2,305,"Kakamega",0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,1,1,2014-11-22,37920,38,302,"",1,1,1,4,4,2,2,0,1,0,2,5,0,0,0,0,0,3,0,0,0,0,2,1,4,4,4,3,2,3,2,0,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,7,7,3,3,3,3,3,3,1,1,1,1,1,4,2,2,1,"Freedom of speech","","",1,9996,9996,3,2,2,2,2,3,2,2,3,2,2,2,4,4,4,2,3,0,2,2,0,0,2,2,2,0,0,3,3,3,0,0,1,3,3,3,0,3,1,0,0,1,1,0,0,1,2,2,0,1,2,2,1,2,2,1,2,1,0,1,1,1,1,1,1,3,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"",1,1,1,"",24,"",23,"",1,9,3,1,1,2,2,1,4,1,3,1,3,3,1,1,1,3,1,3,3,1,1,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,4,1,"",0,7,7,7,7,7,5,"",12,"",2,2,3,3,2,2,2,1,"",1,3,4,3,6,5,1,4,2,4,2,3,3,3,2,4,4,4,2,4,4,2,2,1,302,"",3,3,5,5,1,5,5,1,9998,"",1,0,0,1,4,0,2,2,0,3,3,1,5,10,"",3,9998,"",8,39960,34,2,1,"",4,"",1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN16",23,2,2,301,7,1.2751249949612
