,URBRUR,REGION,AGE,edu_attainment,occupation,gender,length_withoutfood,length_withoutcleanh20,length_withoutmeds,length_withoutfuel,length_withoutcash,frequency_sansfood,living_conditions,remittances,compare_conditions,econ_conditions,Qwelfare
1,2,305,56,12,0,1,0,0,0,0,2,1,3,0,2,2,0.25
2,2,305,72,5,1,2,3,0,1,0,3,1,3,0,2,2,0
3,2,305,65,8,1,1,0,0,0,0,3,5,1,0,2,1,0.5
4,2,305,40,8,0,2,0,0,0,0,0,7,2,0,5,1,0.5
5,2,305,22,3,0,1,0,2,2,2,2,2,2,5,4,1,0.5
6,2,305,38,12,0,2,2,0,1,0,2,5,1,0,4,4,0.5
7,2,305,25,12,0,2,1,0,0,1,2,5,3,0,2,1,0.5
8,2,305,32,3,0,1,1,0,0,1,2,4,2,0,2,2,0.75
9,2,305,59,12,1,2,1,2,2,3,1,1,2,0,2,1,0.5
10,2,305,40,12,0,2,4,1,0,0,0,1,1,0,1,2,0.5
11,2,305,43,3,0,1,1,0,1,2,1,3,1,2,3,2,0.75
12,2,305,41,3,0,2,2,0,0,0,3,5,3,0,2,4,0.5
13,2,305,45,8,0,1,0,0,0,0,2,3,3,0,3,4,0.5
14,2,305,40,5,0,1,2,0,1,1,2,4,2,0,2,2,0
15,2,305,26,8,0,2,1,0,0,1,2,4,3,0,2,2,0.75
16,2,305,35,3,0,2,0,2,1,0,1,3,2,0,4,5,0.5
17,2,305,28,3,0,1,1,2,2,1,1,4,1,0,3,2,0.5
18,2,305,25,3,0,2,1,0,1,1,2,6,1,0,5,1,0
19,2,305,23,5,0,1,0,0,0,0,1,7,1,0,3,4,0.25
20,2,305,57,8,0,2,2,0,0,0,2,3,2,0,2,4,0
21,2,305,38,8,0,1,3,0,0,0,3,3,2,0,2,4,0.5
22,2,305,38,5,0,2,2,1,0,1,3,5,2,0,2,2,0.75
23,2,305,28,14,0,1,2,0,0,1,2,5,2,0,2,4,0
24,2,305,47,5,0,1,0,3,2,1,1,1,4,0,3,3,0.5
25,2,305,28,14,1,2,0,0,0,0,0,7,2,0,3,1,0.5
26,2,305,35,14,1,1,0,0,0,0,0,7,1,0,3,5,0
27,2,305,20,12,0,2,0,1,2,2,1,1,2,5,2,2,0.5
28,2,305,53,12,1,1,1,0,0,0,2,2,4,0,2,4,0.5
29,2,305,25,12,0,2,2,0,1,1,2,4,2,0,4,2,0.5
30,2,305,31,3,0,1,2,2,2,2,2,3,2,5,2,2,0.5
31,2,305,35,8,0,1,2,3,2,1,0,5,2,0,2,1,0.5
32,2,305,44,14,1,2,0,0,0,0,0,7,1,3,1,1,0
33,2,305,29,12,1,1,1,0,2,0,0,3,2,1,2,1,0.75
34,1,305,37,14,1,2,0,0,0,0,1,7,4,2,4,2,0
35,1,305,40,5,0,2,2,2,2,2,2,2,1,5,2,2,0.5
36,1,305,38,14,1,1,0,0,3,0,0,3,4,0,4,2,0.5
37,1,305,34,5,0,2,0,0,0,0,1,7,2,0,2,2,0
38,1,305,36,12,1,1,2,1,2,0,0,4,2,0,1,2,0
39,2,305,53,8,0,2,2,0,1,0,2,5,2,0,2,2,0
40,2,305,46,5,0,1,0,0,0,0,0,7,3,2,3,3,0.5
41,2,305,26,3,0,1,2,2,1,2,3,5,1,0,2,2,0.5
42,2,305,21,5,0,2,1,0,0,1,2,4,2,0,2,1,0.5
43,2,305,29,3,1,1,0,0,2,0,0,-1,2,0,2,3,0.5
44,2,305,25,1,0,2,4,3,4,3,2,4,2,3,2,2,0.5
45,2,305,29,14,1,1,3,2,4,1,4,5,1,0,2,2,0
46,2,305,55,3,0,2,2,0,0,0,2,3,2,0,2,1,0.5
47,2,305,32,3,0,1,0,0,0,0,2,5,3,0,2,2,0.5
48,2,305,24,3,0,2,1,0,1,1,2,4,2,0,2,2,0.75
49,2,305,46,5,1,1,1,0,1,0,2,4,4,0,4,2,0
50,2,305,42,3,1,1,0,2,2,1,0,1,2,1,2,3,0.5
51,2,305,67,0,0,2,0,2,2,0,0,2,4,0,3,4,0
52,2,305,23,3,0,2,0,0,0,0,0,7,1,0,4,5,0.5
53,2,305,25,5,0,1,0,0,0,0,1,7,1,0,3,1,0
54,2,305,31,12,1,2,2,0,0,0,2,3,4,0,4,2,0.5
55,2,305,62,12,1,2,0,0,1,0,2,4,4,4,3,1,0
56,2,305,54,12,1,1,0,1,1,0,0,7,2,2,3,1,0.5
57,2,305,28,12,0,2,2,0,0,0,2,3,2,0,3,2,0.5
58,2,305,23,3,0,2,0,0,0,0,0,7,1,0,4,2,0
59,2,305,28,5,0,1,1,0,0,0,2,5,1,0,4,4,0.75
60,2,305,51,14,1,1,1,0,0,0,2,4,2,4,3,4,0.25
61,2,305,24,3,0,2,1,2,1,1,3,5,4,0,4,4,0
62,2,305,62,3,0,2,2,0,2,1,0,2,2,0,2,2,0
63,2,305,44,3,1,1,2,2,2,2,2,3,2,0,1,1,0.5
64,2,305,26,8,0,2,0,0,1,0,2,2,4,0,4,5,0.5
65,2,305,31,3,0,1,2,0,1,0,4,3,2,0,1,1,0.5
66,1,305,21,3,0,2,1,0,0,0,2,3,2,0,3,4,0
67,1,305,-1,8,0,1,0,1,0,0,2,3,2,0,4,2,0.5
68,1,305,62,3,0,2,2,1,1,2,3,5,2,0,2,2,0.75
69,1,305,25,12,1,2,0,0,0,0,0,7,3,0,3,2,0.5
70,1,305,66,16,0,1,0,0,2,0,0,1,2,0,4,1,0.75
71,1,305,22,5,0,2,1,0,1,0,2,2,2,0,3,1,0.75
72,1,305,56,3,0,1,3,0,1,1,4,5,1,0,2,4,0.5
73,2,305,50,8,0,2,1,0,0,0,2,3,1,0,2,4,0
74,2,305,32,12,0,2,0,0,0,0,2,4,4,0,4,4,0
75,2,305,27,8,1,1,0,0,2,0,0,3,3,0,4,2,0.5
76,2,305,27,5,1,2,0,0,2,0,0,3,3,0,3,2,0
77,2,305,59,8,1,2,1,0,1,0,0,7,2,0,2,2,0
78,2,305,35,3,1,2,0,0,0,0,1,7,4,0,2,2,0.5
79,2,305,43,8,0,1,2,0,1,0,2,3,2,0,2,2,0
80,2,305,24,5,0,1,1,0,0,1,3,4,2,0,3,4,0
81,2,305,43,5,1,1,1,2,0,1,0,2,2,0,2,5,0.25
82,1,305,64,5,0,2,1,0,0,0,1,7,2,0,2,2,0
83,1,305,30,14,0,1,0,0,0,0,0,7,4,0,4,4,0.5
84,1,305,54,5,0,2,0,0,0,0,2,4,2,0,2,4,0.5
85,1,305,-1,3,0,2,1,1,2,0,0,-1,3,0,2,2,0.75
86,1,305,40,12,0,1,0,0,2,0,1,3,3,0,3,4,0
87,2,305,35,0,0,1,0,0,0,0,1,7,4,0,9,2,0
88,2,305,23,3,0,2,0,0,0,0,0,7,1,0,4,2,0.5
89,2,305,25,5,0,1,0,0,0,2,3,5,2,0,2,1,0
90,2,305,35,8,0,2,1,0,0,1,2,2,2,2,2,1,0.5
91,2,305,49,0,0,2,1,3,1,1,0,2,2,0,3,2,0.25
92,2,305,41,12,0,1,1,2,4,0,2,4,2,0,5,1,0
93,2,305,28,8,0,2,1,1,0,0,1,7,2,0,3,1,0.75
94,2,305,70,3,0,1,0,0,0,0,2,5,4,0,4,4,0
95,2,305,35,8,1,2,2,0,2,0,2,3,3,0,2,4,0.5
96,2,305,34,5,1,2,2,0,0,1,2,4,2,0,4,4,0
97,2,305,28,5,0,1,2,2,1,1,1,1,3,0,9,4,0.5
98,2,305,28,12,1,2,0,0,0,0,1,7,3,0,4,4,0.5
99,2,305,24,14,0,1,1,0,0,0,0,7,4,0,2,2,0.5
100,2,305,31,5,0,2,1,0,0,0,0,7,1,0,2,2,0.75
101,1,305,32,8,0,2,1,2,2,0,2,5,3,0,4,2,0.5
102,1,305,22,5,0,2,2,2,2,2,2,5,2,0,2,4,0.75
103,1,305,27,14,1,1,0,0,0,0,0,7,4,0,2,1,0.75
104,1,305,28,12,0,1,0,0,0,0,1,7,4,0,3,1,0.75
105,1,305,30,14,1,2,0,0,0,0,0,7,2,0,4,2,0.75
106,1,305,27,14,1,2,1,2,2,1,4,5,1,0,1,1,0
107,2,305,35,12,1,1,3,0,0,0,3,3,2,0,2,4,0.75
108,2,305,50,8,0,2,3,0,1,0,1,1,2,0,2,2,0.75
109,2,305,25,12,0,1,2,0,0,2,3,5,2,0,3,1,0
110,2,305,24,3,0,1,0,1,1,0,2,5,1,0,3,1,0
111,2,305,28,3,0,2,3,0,1,0,3,2,1,0,3,5,0.25
112,2,305,45,8,0,2,0,0,0,0,0,7,3,0,9,2,0.75
113,2,305,37,12,0,1,0,0,0,0,1,7,3,0,3,2,0
114,2,305,23,5,0,2,0,0,0,0,3,4,2,0,4,4,0.5
115,2,305,22,14,1,1,0,0,2,0,0,4,3,0,3,2,0.5
116,2,305,30,14,1,2,1,1,0,0,0,7,4,2,2,3,0.5
117,2,305,55,1,0,2,0,0,0,0,0,7,1,0,1,1,0.5
118,2,305,45,8,0,1,0,0,0,0,2,1,3,0,2,4,0
119,2,305,47,12,0,2,0,0,0,0,0,7,2,0,2,2,0.5
120,2,305,42,5,1,1,1,0,0,2,4,1,2,1,2,4,0.5
121,2,305,28,8,1,1,0,0,2,0,1,3,2,0,4,3,0.5
122,2,305,50,3,0,2,1,0,2,0,3,5,1,0,1,2,0.5
123,2,305,33,3,0,1,1,1,1,0,2,5,1,0,3,1,0.5
124,2,305,44,12,0,2,2,2,1,0,2,2,2,0,2,4,0.5
125,2,305,27,14,1,1,1,0,0,0,2,1,4,0,4,2,0.5
126,2,305,49,3,1,1,2,0,0,2,3,5,1,0,2,3,0.5
127,2,305,38,3,0,1,0,0,2,0,0,2,2,0,3,3,0.75
128,2,305,34,8,0,2,3,2,1,1,1,5,1,0,3,4,0.5
129,2,305,26,3,0,1,0,0,1,0,4,5,2,0,3,3,0.75
130,2,305,27,3,1,2,0,0,0,0,2,3,3,2,9,1,0.5
131,2,305,35,12,1,1,0,0,0,0,0,7,5,0,3,4,0.75
132,2,305,23,14,1,1,1,1,0,1,3,5,4,0,3,2,0.25
133,2,305,24,5,0,2,0,2,0,0,0,3,2,1,2,4,0.5
134,2,305,53,14,1,1,1,3,2,0,0,3,2,1,3,4,0.5
135,2,305,40,12,1,1,1,1,1,1,1,7,1,2,3,5,0.5
136,2,305,41,3,0,2,1,0,1,0,0,7,2,0,3,3,0.5
137,2,305,44,3,1,1,0,0,3,0,1,3,1,2,4,3,0
138,2,305,54,14,1,1,2,2,2,2,2,5,2,0,2,2,0.5
139,2,305,28,8,0,2,1,1,0,1,2,5,4,0,3,4,0.5
140,2,305,49,0,0,2,1,0,0,0,2,3,1,0,2,4,0.5
141,2,305,64,0,0,1,1,0,0,0,2,5,1,0,2,3,0
142,2,305,55,3,0,2,2,0,1,1,3,3,1,0,3,3,0
143,2,305,52,0,0,2,3,0,2,0,3,3,5,0,2,4,0
144,2,305,69,12,1,1,0,0,2,0,3,5,2,0,2,4,0
145,2,305,28,8,1,1,0,0,0,0,1,7,3,9,3,1,0.75
146,2,305,18,5,0,2,1,2,2,0,0,1,2,0,3,2,0.5
147,2,305,26,3,0,2,2,0,1,1,2,5,1,0,4,3,0
148,2,305,30,5,1,1,0,0,0,2,3,4,1,0,2,1,0
149,2,305,74,5,0,1,2,2,2,3,2,5,1,0,1,1,0.5
150,2,305,30,3,0,2,0,0,0,0,0,7,4,0,4,4,0
151,2,305,75,12,1,1,2,0,0,0,2,2,5,0,9,4,0
152,2,305,43,3,1,1,2,0,2,2,3,5,1,0,2,2,0.75
153,2,305,42,12,1,2,2,2,2,0,0,1,3,0,3,3,0
154,2,305,25,12,0,1,1,2,2,0,2,1,2,0,2,2,0.5
155,2,305,33,1,1,2,3,1,1,1,1,4,1,0,3,1,0
156,2,305,28,3,1,1,0,0,0,0,2,5,2,0,2,4,0.5
157,2,305,72,12,1,1,2,0,2,0,2,5,2,0,2,2,0.5
158,2,305,25,8,0,2,1,0,1,0,2,5,4,0,4,3,0
159,2,305,75,5,1,2,1,0,2,1,0,3,2,0,3,2,0.5
160,2,305,39,3,0,2,3,1,2,1,4,5,1,0,2,1,0
161,2,305,34,3,0,1,1,0,0,0,1,7,2,0,1,1,0
162,1,305,43,16,1,1,0,0,0,0,1,7,5,4,4,2,0.5
163,1,305,38,16,1,2,0,0,0,0,0,7,4,0,3,2,0
164,1,305,28,14,1,1,0,0,1,0,0,7,3,0,3,2,0.5
165,1,305,38,8,1,2,0,2,2,0,0,1,5,2,3,3,0
166,1,305,41,18,1,1,0,0,0,0,0,7,3,0,2,3,0.5
167,1,305,22,5,0,2,1,0,1,0,0,7,1,0,1,2,0
168,2,305,34,3,0,1,1,0,0,0,2,3,1,0,2,4,0
169,2,305,54,12,1,2,1,0,0,0,1,7,3,0,3,4,0.5
170,2,305,41,12,0,1,0,2,0,1,0,2,3,0,3,4,0.75
171,2,305,38,12,0,2,2,2,3,1,0,1,2,0,3,2,0
172,2,305,43,3,1,2,2,0,0,0,4,2,1,0,1,1,0.75
173,1,305,25,3,0,2,1,0,0,0,2,4,4,0,9,4,0
174,1,305,53,8,1,1,0,2,1,2,3,5,2,0,2,2,0
175,1,305,32,5,0,1,1,2,2,1,0,1,3,0,3,1,0
176,1,305,25,3,0,2,1,1,0,0,2,2,2,0,4,4,0.25
177,1,305,52,3,0,1,1,0,0,0,3,4,1,0,2,1,0
178,2,305,90,0,0,2,3,0,3,0,3,6,1,0,2,9,0.5
179,2,305,57,12,1,1,0,0,0,0,0,7,3,0,3,4,0
180,2,305,61,3,0,1,1,0,1,1,2,5,2,0,2,2,0.5
181,2,305,30,3,0,2,2,1,2,1,0,5,2,0,2,1,0.5
182,2,305,53,3,0,2,1,2,3,3,4,5,1,0,2,1,0.5
183,2,305,56,1,0,1,3,2,1,2,4,2,2,0,1,1,0.5
184,2,305,26,5,0,2,2,0,0,0,2,2,3,0,2,4,0.5
185,2,305,57,5,0,1,1,1,0,1,2,4,2,0,2,2,0.5
186,2,305,50,5,0,2,0,2,1,0,2,4,3,0,4,2,0
187,2,305,55,3,0,1,0,0,2,0,0,3,1,0,1,1,0.5
188,2,305,68,5,0,2,0,0,2,1,0,1,3,0,3,1,0.5
189,2,305,34,3,0,2,0,0,0,0,0,7,1,0,1,1,0
190,2,305,26,5,1,1,2,0,0,0,0,3,1,0,2,4,0.75
191,1,304,26,3,0,2,1,1,0,1,1,7,3,0,2,1,0.5
192,1,304,35,5,1,1,1,2,2,0,2,3,2,0,2,2,0.5
193,1,304,40,3,0,2,1,2,2,0,1,3,3,0,3,2,0.5
194,1,304,29,5,0,2,1,3,1,1,3,5,1,0,1,2,0.75
195,1,304,54,8,1,1,0,1,1,2,3,3,1,0,3,4,0
196,1,304,46,3,0,2,1,1,1,1,2,5,1,0,3,2,0
197,2,304,59,3,0,2,2,3,2,1,2,5,1,0,3,1,0.5
198,2,304,55,8,0,1,0,2,2,0,1,5,3,0,9,2,0
199,2,304,64,12,1,1,1,2,1,0,1,5,3,0,4,3,0
200,2,304,32,5,0,2,2,2,0,2,0,5,3,0,1,1,0.25
201,2,304,27,3,0,2,1,4,3,3,3,5,1,0,2,4,0.5
202,2,304,20,3,0,1,3,3,3,1,3,5,1,0,1,2,0.75
